Last permanent residence,Total Europe,Great Britain (3),France,Germany,Netherlands,Greece,Italy,Portugal,Other Europe (4),Poland,Total Asia,India,Hong Kong,Vietnam,Philippines,Other Asia,Australasia,"Total United States, West Indies",United States,West Indies (5),All other countries,Africa,Other North and Central America,South America
Q4 1967,33163,10874,2407,2973,575,2314,6224,3184,4612,0,5599,0,0,0,0,0,1338,6181,4062,2119,2002,0,0,0
Q1 1968,24123,6812,1823,1824,550,1529,5220,2493,3872,0,4364,0,0,0,0,0,1236,4273,2670,1603,1605,0,0,0
Q2 1968,34862,12171,2550,3181,1451,1786,6375,2029,5319,0,6009,0,0,0,0,0,891,5856,4150,1706,2120,0,0,0
Q3 1968,30879,12230,2389,1931,907,1992,4807,1481,5142,0,6535,0,0,0,0,0,1726,9078,7103,1975,2819,0,0,0
Q4 1968,30448,8221,1422,2030,356,2432,3372,1735,10880,0,5168,0,0,0,0,0,965,8838,6499,2339,2179,0,0,0
Q1 1969,16976,5201,1108,1155,478,1457,2389,1365,3823,0,4514,0,0,0,0,0,874,6595,3921,2674,1829,0,0,0
Q2 1969,22697,8523,1382,1728,853,1539,3051,1799,3822,0,5901,0,0,0,0,0,1099,8117,4674,3443,2519,0,0,0
Q3 1969,25817,11393,1748,1682,765,1832,2672,1680,4045,0,7655,0,0,0,0,0,1492,10809,6871,3938,2798,0,0,0
Q4 1969,22486,8095,1311,1315,398,2109,2271,2338,4649,0,5636,0,0,0,0,0,949,10357,7319,3038,2411,0,0,0
Q1 1970,16771,5733,1006,883,388,1399,2074,1825,3463,0,4023,0,0,0,0,0,866,7013,4523,2490,2110,0,0,0
Q2 1970,22154,8121,1169,1319,721,1684,2455,2354,4331,0,5644,0,0,0,0,0,1302,8487,5218,3269,2465,0,0,0
Q3 1970,20324,7916,1343,1242,513,1790,2163,1687,3670,0,6503,0,0,0,0,0,1387,11409,7389,4020,2865,0,0,0
Q4 1970,16079,5850,892,749,294,1454,1841,2036,2963,0,5281,0,0,0,0,0,833,9971,7294,2677,2226,0,0,0
Q1 1971,12489,3487,814,567,303,1388,1509,2169,2252,0,4904,0,0,0,0,0,671,7731,5108,2623,2104,0,0,0
Q2 1971,13939,4512,815,674,420,1107,1561,2272,2578,0,6139,0,0,0,0,0,923,7896,5206,2690,2381,0,0,0
Q3 1971,13904,4596,765,612,317,1333,1606,2287,2388,0,6618,0,0,0,0,0,762,10621,6956,3665,2923,0,0,0
Q4 1971,11501,3686,572,422,261,941,1114,2429,2076,0,4708,0,0,0,0,0,550,8961,7096,1865,2175,0,0,0
Q1 1972,9961,3126,634,396,227,854,1030,2031,1663,0,4235,0,0,0,0,0,454,7182,5364,1818,1735,0,0,0
Q2 1972,14342,5244,726,611,547,1029,1282,2696,2207,0,6023,0,0,0,0,0,646,7369,5209,2160,2366,0,0,0
Q3 1972,13719,5448,841,581,376,1000,1294,1931,2248,0,6963,0,0,0,0,0,581,8386,6378,2008,2825,0,0,0
Q4 1972,13271,5315,541,437,321,1133,1002,2079,2443,0,6104,0,0,0,0,0,467,7915,5667,2248,7462,0,0,0
Q1 1973,11178,4685,526,383,263,888,844,1931,1658,0,5613,0,0,0,0,0,417,6142,4091,2051,2938,0,0,0
Q2 1973,20572,8210,1000,700,684,1523,1604,3666,3185,0,8923,0,0,0,0,0,878,8830,4542,4288,5342,0,0,0
Q3 1973,18574,7728,1002,700,522,1482,1436,3053,2651,0,11818,0,0,0,0,0,708,12240,6965,5275,5717,0,0,0
Q4 1973,21559,7479,1058,781,429,1940,1584,4833,3455,0,16839,0,0,0,0,0,668,17311,9644,7667,7933,0,0,0
Q1 1974,17668,6478,799,614,448,1542,1203,4056,2528,0,10563,0,0,0,0,0,554,11043,6178,4865,5474,0,0,0
Q2 1974,24255,10235,1161,1085,696,1585,1549,4718,3226,0,12732,0,0,0,0,0,741,13683,7611,6072,7376,0,0,0
Q3 1974,24234,11739,1283,1122,609,1315,1283,3689,3194,0,14847,0,0,0,0,0,780,15043,7877,7166,7408,0,0,0
Q4 1974,22537,11296,989,798,350,1190,1191,3870,2853,0,12424,0,0,0,0,0,519,10442,4875,5567,6142,0,0,0
Q1 1975,18340,9376,723,684,385,919,1008,2672,2573,0,10452,0,0,0,0,0,554,8124,3835,4289,5978,0,0,0
Q2 1975,20537,10248,1127,1077,481,1096,1371,2300,2837,0,13560,0,0,0,0,0,669,9568,5339,4229,7125,0,0,0
Q3 1975,18818,9077,1248,984,337,1265,1451,1911,2545,0,14210,0,0,0,0,0,544,12577,7051,5526,8401,0,0,0
Q4 1975,15203,7375,793,724,245,782,1248,1664,2372,0,9160,0,0,0,0,0,407,7686,3930,3756,5968,0,0,0
Q1 1976,11361,5402,829,518,255,534,834,1071,1918,0,8769,0,0,0,0,0,377,6636,3149,3487,5216,0,0,0
Q2 1976,15732,6407,901,897,481,823,1577,2216,2432,0,11513,0,0,0,0,0,636,10334,6072,4263,6479,0,0,0
Q3 1976,12928,5790,803,786,420,685,1254,1211,1979,0,13711,0,0,0,0,0,519,8980,5092,3888,5401,0,0,0
Q4 1976,10007,4591,717,479,209,453,883,914,1761,0,10098,0,0,0,0,0,360,6156,3071,3085,4215,0,0,0
Q1 1977,9350,4239,624,521,279,470,689,865,1663,0,7162,0,0,0,0,0,351,5403,2800,2603,3782,0,0,0
Q2 1977,11387,5175,673,683,438,591,905,971,1951,0,9071,0,0,0,0,0,504,6994,3750,3244,4552,0,0,0
Q3 1977,11593,5090,941,656,355,550,1113,985,1903,0,9168,0,0,0,0,0,438,7665,4196,3469,4933,0,0,0
Q4 1977,8386,4032,523,398,178,351,703,754,1447,0,5979,0,0,0,0,0,254,4645,2172,2473,3297,0,0,0
Q1 1978,7429,3203,405,321,249,317,676,483,1775,0,5300,0,0,0,0,0,210,4263,2196,2067,3130,0,0,0
Q2 1978,8333,3410,413,437,381,423,903,552,1814,0,6746,0,0,0,0,0,382,5048,2737,2311,3768,0,0,0
Q3 1978,7426,3127,537,432,347,342,697,398,1546,0,6211,0,0,0,0,0,315,4898,2796,2102,3098,0,0,0
Q4 1978,6874,2511,399,281,260,395,701,464,1863,0,5772,0,0,0,0,0,330,3962,2220,1742,2818,0,0,0
Q1 1979,6387,2359,366,232,217,335,496,769,1613,0,6024,0,0,0,0,0,329,3579,2186,1393,2547,0,0,0
Q2 1979,7839,3203,399,397,454,260,515,818,1793,0,9574,0,0,0,0,0,373,3519,2067,1452,2643,0,0,0
Q3 1979,9472,4108,649,367,481,318,568,903,2078,0,14406,0,0,0,0,0,387,4583,2891,1692,3204,0,0,0
Q4 1979,12115,4883,539,466,429,319,647,1544,3287,0,16867,0,0,0,0,0,354,4888,2804,2084,3006,0,0,0
Q1 1980,9029,4008,412,292,344,248,316,957,2453,0,18964,0,0,0,0,0,378,3319,1910,1409,2659,0,0,0
Q2 1980,10668,5303,469,397,576,275,437,782,2428,0,21337,0,0,0,0,0,470,4464,2512,1953,3253,0,0,0
Q3 1980,11304,5523,567,564,588,302,442,1188,2131,0,17185,0,0,0,0,0,411,5296,3153,2143,3180,0,0,0
Q4 1980,10276,4142,457,395,364,271,549,1310,2788,0,14307,0,0,0,0,0,300,4146,2378,1768,2550,0,0,0
Q1 1981,9401,4467,414,381,276,187,547,430,2698,0,10647,0,0,0,0,0,312,3682,2321,1362,2746,0,0,0
Q2 1981,11687,6044,550,533,516,228,448,571,2798,0,11805,0,0,0,0,0,312,4227,2632,1595,3464,0,0,0
Q3 1981,12596,6390,682,607,607,233,524,436,3119,0,14355,0,0,0,0,0,403,5104,2824,2280,3472,0,0,0
Q4 1981,12678,5093,446,670,401,310,528,453,4778,0,12091,0,0,0,0,0,292,6138,2796,3342,3381,0,0,0
Q1 1982,11110,4716,456,756,435,239,416,414,2210,1469,10470,1946,1463,1631,1191,4239,242,4590,2246,2345,268,967,323,1737
Q2 1982,13516,5394,646,1185,759,226,449,461,2403,1994,12066,2128,1801,1757,1456,4925,298,5010,2540,2471,368,1379,368,2116
Q3 1982,11957,4412,795,1441,438,178,349,237,2081,2025,10114,1493,1747,1410,1298,4166,222,4110,2256,1854,339,1300,333,1325
Q4 1982,9643,2579,500,1050,198,242,294,278,1698,2803,9099,2221,1541,1147,1125,3066,176,4351,2333,2018,325,874,630,1705
Q1 1983,6589,1723,429,719,144,195,253,242,1396,1487,8074,1774,1258,1005,1087,2951,121,3906,1977,1929,229,790,869,1424
Q2 1983,6399,1515,396,705,215,142,223,208,1765,1229,9458,1610,1517,1764,1275,3292,101,3881,1863,2018,150,877,890,1143
Q3 1983,5510,1579,499,717,162,129,156,167,1205,897,10008,1776,2207,1648,1127,3250,112,3691,1902,1789,176,1132,1281,1098
Q4 1983,5872,1234,332,383,152,135,196,204,1742,1493,9458,1900,1746,2050,975,2788,144,3155,1657,1499,181,870,624,1164
Q1 1984,4397,1106,245,327,139,125,191,198,1124,942,8968,1757,1438,2014,834,2925,125,2578,1385,1193,162,698,1154,970
Q2 1984,5784,1609,395,536,143,146,238,243,1350,1124,11491,1739,1973,2503,1123,4153,164,3843,2153,1690,145,1159,1121,1357
Q3 1984,5766,1655,457,576,161,163,204,206,1136,1209,12269,1210,2707,3349,1039,3964,152,3739,2012,1726,151,1041,793,970
Q4 1984,5039,1046,289,295,104,123,210,212,1517,1243,9363,817,1609,3131,768,3039,97,2443,1399,1043,160,668,1027,805
Q1 1985,4225,994,256,361,113,122,163,207,1184,824,8377,813,1436,2477,752,2899,135,2582,1369,1212,161,787,1030,924
Q2 1985,4971,1348,359,421,148,117,130,234,1318,894,9422,1010,1706,2629,719,3358,158,3275,1808,1467,158,949,1219,1069
Q3 1985,5196,1306,488,515,120,135,208,230,1196,997,11215,930,2677,2855,859,3892,114,3754,1830,1924,165,985,1603,1298
Q4 1985,4476,1073,298,281,85,177,149,239,1271,903,9600,1276,1564,2448,746,3566,99,3196,1665,1531,138,825,1166,1067
Q1 1986,4188,883,268,215,117,93,118,204,1219,1071,8758,1443,1153,2073,711,3377,121,2855,1425,1430,111,833,1453,1023
Q2 1986,5935,1448,395,367,173,134,205,327,1475,1410,10028,1637,1218,1944,1101,4128,139,4046,2082,1963,174,1167,1565,1364
Q3 1986,6236,1669,491,504,130,142,188,333,1248,1530,11050,1669,2082,1599,1173,4527,115,4021,1810,2211,258,1441,1602,1484
Q4 1986,6377,1528,458,319,104,183,205,1109,1246,1225,11814,2199,1448,1010,1123,6035,128,5248,1966,3282,182,1335,1464,2828
Q1 1987,8471,1744,454,381,115,179,232,1450,2001,1914,13739,2309,2068,1529,1351,6482,170,4723,2004,2720,233,1840,2267,3245
Q2 1987,10143,2430,547,577,138,201,268,1982,2147,1852,17602,2687,3876,1818,2207,7014,182,5220,2235,2985,314,2449,1943,2756
Q3 1987,10014,3086,699,642,188,189,260,1265,2144,1540,20071,2480,6095,1192,2196,8108,181,5257,2242,3015,313,2623,1617,2459
Q4 1987,8919,2271,590,303,134,201,270,1277,2145,1728,15894,2212,4123,1126,1584,6848,220,3986,1482,2503,215,1583,1044,2338
Q1 1988,8455,2086,425,302,148,130,196,1039,2121,2007,16126,2393,4574,1444,1452,6263,191,3231,1290,1941,219,1621,1511,1645
Q2 1988,10613,2908,657,468,235,140,209,1209,2718,2068,21629,3222,5900,1760,2805,7942,196,3892,1400,2492,318,2447,1477,1906
Q3 1988,11309,3325,879,565,235,150,257,1019,2646,2233,24461,2643,8358,1705,2356,9398,175,4605,1964,2641,266,3050,1369,2007
Q4 1988,10213,2099,621,356,202,159,196,880,2801,2900,18722,2125,4393,1271,1676,9257,182,4209,1867,2341,271,2239,1300,1679
Q1 1989,12085,1963,635,453,192,220,261,1521,3143,3698,18490,1863,4461,1474,2262,8430,257,3919,1803,2116,279,2384,1115,1951
Q2 1989,13862,2699,770,569,229,184,286,1651,3633,3841,25087,2534,5577,2331,3408,11237,191,4734,1909,2825,211,3213,1387,2410
Q3 1989,13440,3106,926,624,239,194,235,1237,3371,3510,27477,2335,6362,2823,2785,13172,225,5051,1636,3416,297,3448,1481,2356
Q4 1989,12585,1967,544,375,162,171,252,991,3226,4898,21972,2065,3455,2774,2909,10769,219,4090,1565,2524,357,3124,1873,1946
Q1 1990,12322,1970,533,359,142,113,209,857,3064,5076,21026,1895,4176,2631,2867,9456,186,3495,1248,2247,352,2678,1366,1872
Q2 1990,15110,2567,695,469,177,156,234,1922,4020,4871,30699,3068,7894,2916,3904,12916,315,5301,1748,3553,579,3696,1654,2765
Q3 1990,13633,2738,851,500,180,130,253,1706,3660,3616,34878,3124,12365,1656,3048,14685,271,5266,1622,3644,475,4033,1857,2514
Q4 1990,11392,1817,536,308,128,140,229,1167,3901,3168,26299,2647,5119,1964,2336,14233,227,3888,1529,2360,268,3173,2999,1835
Q1 1991,11623,1859,593,377,135,141,158,1597,3240,3522,26783,2766,4737,1881,2841,14557,223,4148,1445,2704,342,3508,2528,2466
Q2 1991,11448,2152,755,356,113,101,150,1553,2802,3467,30238,3121,4490,2679,3032,16916,201,4436,1369,3067,403,3787,3379,2861
Q3 1991,10660,1985,993,434,130,84,108,1072,2407,3451,29694,3470,6498,2544,2179,15003,151,4006,1218,2787,611,4131,3351,2272
Q4 1991,14747,2355,894,418,192,245,287,1126,3792,5437,34285,3596,6802,1924,4402,17561,387,7118,2632,4486,850,4798,4266,3075
Q1 1992,9474,1666,638,245,136,100,160,704,2977,2848,30921,2827,8716,1402,2248,15729,253,4954,1816,3138,682,4230,3513,2552
Q2 1992,10838,2012,883,388,175,120,138,792,3594,2736,35917,3270,11405,1937,2877,16429,268,5232,1752,3479,662,4558,3358,2467
Q3 1992,12505,2353,1335,474,210,123,165,739,3966,3139,39261,3403,12082,1764,3787,18226,341,6077,1915,4161,659,5391,3143,2749
Q4 1992,12410,1762,911,380,165,151,174,533,5085,3249,34286,3277,7027,2637,4464,16881,338,6404,2113,4291,485,5613,2612,2703
Q1 1993,11801,1725,840,351,167,118,188,508,5975,1930,32701,4668,7729,1673,3966,14665,331,6818,2142,4675,531,4579,2746,2791
Q2 1993,12681,2098,1190,501,182,127,166,521,6048,1849,38956,5212,8953,2521,5401,16868,343,7120,2222,4897,531,5092,2226,2666
Q3 1993,12641,2345,1231,613,168,106,165,301,5841,1870,44402,5984,11822,2270,6318,18007,351,6033,2100,3932,368,4090,1489,2160
Q4 1993,9653,1527,733,430,154,120,179,245,5011,1255,31788,4661,8210,1867,4163,12887,299,4700,1576,3123,340,3223,1305,1999
Q1 1994,8374,1441,567,441,144,85,192,221,4531,752,32030,3787,9872,1805,4531,12034,279,4167,1521,2646,310,2748,960,1797
Q2 1994,9561,1773,850,512,180,92,155,227,4839,933,38968,5092,11776,1887,5985,14228,352,4246,1533,2713,290,3452,809,2176
Q3 1994,10740,1820,1031,583,129,60,150,181,5744,1040,44042,4658,16176,1333,5151,16723,250,4023,1704,2319,350,4199,864,2091
Q4 1994,10055,1304,598,439,140,84,131,173,6478,707,26876,3726,6447,1219,3475,12009,231,3817,1490,2328,248,3338,880,1872
Q1 1995,9518,1391,748,507,116,98,171,233,5674,579,30799,3366,8322,1140,3888,14082,237,3792,1333,2460,222,3356,805,2175
Q2 1995,10913,1706,1138,569,199,95,137,161,6357,551,34170,4096,9037,1017,4277,15743,255,3808,1341,2466,233,3745,672,2162
Q3 1995,11515,1897,1176,801,177,55,170,212,6385,641,35714,4274,8761,1000,3956,17724,282,3796,1147,2648,198,4309,619,1826
Q4 1995,9354,1399,828,486,152,77,157,236,5485,535,28752,4527,5739,787,3069,14629,281,3846,1352,2493,181,3214,744,1382
Q1 1996,9065,1354,763,550,160,93,191,164,5280,510,32205,4349,6959,573,3231,17093,275,3682,1426,2256,219,3431,850,1561
Q2 1996,11328,1664,1034,786,332,69,192,228,6473,551,37538,6403,7106,799,3940,19289,338,4178,1553,2626,210,3941,864,1780
Q3 1996,10366,1539,977,706,350,94,146,199,5782,573,41574,5614,9037,653,3170,23100,327,3840,1481,2359,220,4170,804,1449
Q4 1996,9255,1280,589,496,210,62,156,136,5898,429,33080,4935,6904,465,2807,17970,288,3479,1386,2093,188,3336,896,1324
Q1 1997,8465,1306,585,533,191,79,127,168,5070,406,35526,4468,8087,400,2540,20032,350,3104,1297,1808,136,3140,882,1241
Q2 1997,9433,1327,710,515,248,57,126,205,5790,455,37992,5717,5406,384,3404,23082,354,3471,1303,2168,170,3571,875,1551
Q3 1997,10965,1326,924,566,149,97,161,182,7050,509,38467,4747,5966,628,2807,24318,374,3975,1407,2568,162,4242,1015,1645
Q4 1997,9801,887,629,490,135,63,118,156,6985,338,26334,4660,2579,375,2129,16591,326,2720,1029,1691,190,3571,734,1252
Q1 1998,9149,921,685,419,176,50,133,134,6298,331,25277,3797,2240,494,2191,16554,359,2691,1030,1661,97,3107,743,1390
Q2 1998,9934,1098,1020,523,185,57,115,135,6436,364,27046,4252,1760,363,2338,18332,288,2925,1257,1668,134,3623,674,1249
Q3 1998,11147,1177,1304,642,186,68,86,117,7176,390,27262,3635,1203,425,1942,20056,224,2866,1211,1655,112,3725,717,1264
Q4 1998,8288,851,861,480,128,50,95,76,5388,359,21907,3703,515,349,1716,15624,189,2675,1302,1373,81,3401,572,1068
Q1 1999,8759,962,750,602,172,71,141,66,5728,267,22998,3369,538,322,1969,16799,233,2687,1219,1468,83,3549,640,1204
Q2 1999,9735,1162,1081,725,284,58,116,89,5909,310,28395,4343,406,380,2444,20820,194,3080,1368,1712,95,3816,704,1524
Q3 1999,11042,1430,1159,891,254,59,117,95,6629,407,32606,4850,354,344,2379,24678,194,3352,1472,1879,119,4243,751,1534
Q4 1999,9443,1080,933,678,201,60,138,98,5941,314,29087,4901,240,351,2413,21181,228,3189,1488,1701,87,4234,818,1348
Q1 2000,8800,1105,844,621,209,62,91,95,5483,289,28325,4458,241,374,1987,21265,209,2532,1245,1287,71,3687,622,1318
Q2 2000,10699,1214,1160,743,238,67,105,95,6735,341,36124,7010,280,494,2619,25721,247,3338,1556,1782,125,4790,778,1770
Q3 2000,12273,1330,1397,607,262,66,129,110,7993,378,41016,7301,294,481,2942,29998,258,3777,1535,2243,154,6098,889,2053
Q4 2000,11191,1176,948,400,170,166,156,93,7756,325,34713,7353,145,452,2580,24183,217,3342,1497,1846,135,5465,772,1641
Q1 2001,10885,1183,917,426,216,71,130,124,7581,237,36499,6527,173,425,3273,26101,264,3102,1471,1631,153,4961,705,1916
Q2 2001,11352,1526,1330,469,233,68,116,118,7198,294,44639,8074,191,435,4545,31394,306,3883,1533,2350,232,6598,867,2171
Q3 2001,11625,1630,1314,523,213,107,162,99,7219,358,43571,7733,165,616,2970,32087,349,4212,1553,2659,232,6781,811,2370
Q4 2001,9435,1236,867,428,153,100,119,140,6113,279,31000,5569,161,621,2140,22509,297,3276,1352,1924,239,5098,756,2053
Q1 2002,10356,1297,756,372,170,83,114,109,7183,272,38492,7332,184,690,3012,27274,374,3461,1589,1872,224,5410,954,2318
Q2 2002,11797,1520,1191,549,249,55,137,110,7644,342,46310,10460,200,733,4363,30554,324,3668,1542,2126,238,6764,1010,2600
Q3 2002,9149,1049,1180,334,136,14,84,47,6061,244,31959,6698,94,465,2333,22369,243,3138,962,2176,172,5629,539,2090
Q4 2002,7566,1063,835,369,131,59,111,53,4686,259,24584,4348,103,394,1303,18436,258,2625,1201,1424,142,4292,546,1817
Q1 2003,7816,1105,781,419,151,37,115,68,4882,258,27598,4603,126,433,2003,20433,331,2781,1363,1418,162,3945,705,2220
Q2 2003,9381,1454,905,562,190,36,95,67,5805,267,36481,7358,109,401,3321,25292,301,3167,1398,1769,183,5732,691,2927
Q3 2003,10804,1609,1381,662,190,47,95,59,6496,265,38189,7327,138,435,3285,27004,361,3308,1478,1830,180,6739,695,3064
Q4 2003,9568,1291,1060,455,131,59,96,89,6098,289,30579,5306,123,417,3379,21354,372,3296,1774,1522,168,6097,649,2859
Q1 2004,9907,1372,1021,445,180,45,100,62,6415,267,30788,5047,121,554,3113,21953,361,3241,1832,1409,161,6617,844,2995
Q2 2004,12069,1824,1404,655,237,68,118,108,7309,346,38937,7252,161,455,4159,26910,411,3739,2071,1668,208,7395,967,3515
Q3 2004,11724,1792,1585,704,263,58,137,76,6732,377,38438,7506,158,434,3604,26736,335,3862,1867,1995,108,7089,850,3173
Q4 2004,8202,1358,1018,583,146,39,77,77,4565,339,27494,5769,104,360,2427,18834,297,3282,1737,1545,109,5408,689,2609
Q1 2005,9219,1417,1243,528,241,25,74,78,5293,320,33190,5469,115,448,2808,24350,395,3661,2233,1428,90,5787,992,3104
Q2 2005,11412,1621,1699,715,264,39,91,87,6591,305,46093,10327,142,372,5677,29575,385,4615,2553,2062,127,7061,1177,3601
Q3 2005,11765,1758,1593,945,249,49,108,64,6656,343,46671,9143,97,429,5353,31649,418,4424,2514,1910,116,7460,1066,4025
Q4 2005,8510,1312,895,447,175,32,71,62,5278,238,34013,8208,94,572,3687,21452,309,3468,1963,1505,84,5227,785,2990
